OrderID,OrderDate,CustomerID,Country,Product,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod
ORD-00725,2022-01-04,CUST-0334,UK,Smartphone,Electronics,1,678.79,678.79,PayPal
ORD-00805,2022-01-04,CUST-0496,USA,Socks,Clothing,2,134.29,268.58,Debit Card
ORD-02685,2022-01-04,CUST-0225,USA,Self-Help,Books,3,38.38,115.14,Credit Card
ORD-03342,2022-01-05,CUST-0339,USA,Laptop,Electronics,3,764.13,2292.39,Credit Card
ORD-02936,2022-01-05,CUST-0275,USA,Self-Help,Books,4,42.17,168.68,Credit Card
ORD-00671,2022-01-05,CUST-0213,USA,Jeans,Clothing,3,61.13,183.39,Credit Card
ORD-04467,2022-01-05,CUST-0241,Japan,Jacket,Clothing,4,104.31,417.24,PayPal
ORD-04164,2022-01-05,CUST-0039,USA,Jacket,Clothing,4,40.16,160.64,Credit Card
ORD-03956,2022-01-05,CUST-0457,USA,Smart Watch,Electronics,1,593.77,593.77,Credit Card
ORD-02233,2022-01-05,CUST-0230,Mexico,Cookware Set,Home & Kitchen,5,153.92,769.6,Credit Card
ORD-02652,2022-01-05,CUST-0144,USA,Smartphone,Electronics,2,870.93,1741.86,Credit Card
ORD-01103,2022-01-05,CUST-0227,Australia,Face Cream,Beauty,1,93.72,93.72,Credit Card
ORD-03258,2022-01-06,CUST-0301,USA,Face Cream,Beauty,3,59.52,178.56,Debit Card
ORD-01540,2022-01-06,CUST-0051,USA,Camera,Electronics,4,932.95,3731.8,Credit Card
ORD-02930,2022-01-06,CUST-0199,Brazil,Shoes,Clothing,5,26.96,134.8,Credit Card
ORD-00100,2022-01-06,CUST-0337,UK,Hat,Clothing,1,132.14,132.14,Credit Card
ORD-02308,2022-01-06,CUST-0280,Canada,Hat,Clothing,1,81.32,81.32,Credit Card
ORD-04172,2022-01-06,CUST-0006,USA,Face Cream,Beauty,5,56.84,284.2,Credit Card
ORD-03568,2022-01-06,CUST-0253,UK,Microwave,Home & Kitchen,5,36.05,180.25,Apple Pay
ORD-03899,2022-01-06,CUST-0112,France,Tablet,Electronics,4,1281.44,5125.76,Credit Card
ORD-00885,2022-01-06,CUST-0485,France,Headphones,Electronics,1,534.3,534.3,Credit Card
ORD-03719,2022-01-06,CUST-0276,France,Socks,Clothing,5,54.61,273.05,PayPal
ORD-01407,2022-01-06,CUST-0494,USA,Jeans,Clothing,5,99.38,496.9,Credit Card
ORD-04474,2022-01-06,CUST-0084,France,Hat,Clothing,4,84.18,336.72,Credit Card
ORD-04041,2022-01-07,CUST-0408,USA,Cookware Set,Home & Kitchen,5,157.19,785.95,Google Pay
ORD-00905,2022-01-07,CUST-0075,India,Knife Set,Home & Kitchen,4,186.69,746.76,Google Pay
ORD-01039,2022-01-07,CUST-0158,UK,Perfume,Beauty,2,57.83,115.66,Apple Pay
ORD-02885,2022-01-07,CUST-0164,USA,Knife Set,Home & Kitchen,1,134.49,134.49,PayPal
ORD-02397,2022-01-07,CUST-0432,Canada,History,Books,2,32.68,65.36,PayPal
ORD-01214,2022-01-07,CUST-0197,UK,Biography,Books,4,45.78,183.12,Apple Pay
ORD-04582,2022-01-07,CUST-0258,India,Jeans,Clothing,3,87.11,261.33,Credit Card
ORD-02625,2022-01-07,CUST-0244,Germany,Hat,Clothing,1,127.16,127.16,PayPal
ORD-00713,2022-01-08,CUST-0003,Canada,T-Shirt,Clothing,2,130.09,260.18,Credit Card
ORD-04597,2022-01-08,CUST-0361,France,Perfume,Beauty,3,46.09,138.27,Debit Card
ORD-02311,2022-01-08,CUST-0095,USA,Toaster,Home & Kitchen,1,138.58,138.58,Credit Card
ORD-02360,2022-01-08,CUST-0362,Australia,Camera,Electronics,2,1087.34,2174.68,Credit Card
ORD-01993,2022-01-08,CUST-0247,Canada,Knife Set,Home & Kitchen,3,154.56,463.68,Apple Pay
ORD-04409,2022-01-08,CUST-0265,Germany,Coffee Maker,Home & Kitchen,5,224.67,1123.35,Credit Card
ORD-02225,2022-01-08,CUST-0201,France,Tablet,Electronics,4,987.58,3950.32,Credit Card
ORD-04764,2022-01-08,CUST-0410,USA,Speaker,Electronics,3,683.5,2050.5,Apple Pay
ORD-02480,2022-01-09,CUST-0289,USA,T-Shirt,Clothing,1,20.69,20.69,Credit Card
ORD-02079,2022-01-09,CUST-0411,Germany,Tablet,Electronics,5,1458.6,7293.0,Credit Card
ORD-04958,2022-01-09,CUST-0388,USA,Speaker,Electronics,2,925.42,1850.84,Debit Card
ORD-02269,2022-01-09,CUST-0500,Brazil,Science,Books,1,35.08,35.08,Credit Card
ORD-03524,2022-01-09,CUST-0239,India,Smart Watch,Electronics,2,566.11,1132.22,Credit Card
ORD-04526,2022-01-09,CUST-0025,USA,Smart Watch,Electronics,5,1388.61,6943.05,Credit Card
ORD-04547,2022-01-09,CUST-0355,USA,Coffee Maker,Home & Kitchen,2,263.84,527.68,Debit Card
ORD-01740,2022-01-10,CUST-0230,USA,Jeans,Clothing,4,80.18,320.72,Google Pay
ORD-03943,2022-01-10,CUST-0230,Canada,Laptop,Electronics,1,1383.14,1383.14,Credit Card
ORD-03922,2022-01-10,CUST-0328,Japan,Speaker,Electronics,5,540.32,2701.6,Credit Card
ORD-00351,2022-01-10,CUST-0142,USA,Non-Fiction,Books,2,43.68,87.36,Credit Card
ORD-01011,2022-01-10,CUST-0396,USA,Lipstick,Beauty,1,73.87,73.87,Credit Card
ORD-01381,2022-01-10,CUST-0004,Canada,Self-Help,Books,1,23.56,23.56,Debit Card
ORD-01820,2022-01-11,CUST-0039,India,Lipstick,Beauty,2,44.21,88.42,Credit Card
ORD-03656,2022-01-11,CUST-0047,UK,Lipstick,Beauty,4,65.08,260.32,Credit Card
ORD-00809,2022-01-11,CUST-0184,Australia,Perfume,Beauty,1,65.09,65.09,Apple Pay
ORD-00777,2022-01-11,CUST-0184,Australia,Toaster,Home & Kitchen,2,242.65,485.3,PayPal
ORD-02660,2022-01-11,CUST-0064,UK,Face Cream,Beauty,3,87.23,261.69,Debit Card
ORD-04948,2022-01-11,CUST-0394,USA,Lipstick,Beauty,4,32.07,128.28,Debit Card
ORD-02842,2022-01-11,CUST-0492,USA,Fiction,Books,4,29.8,119.2,PayPal
ORD-04509,2022-01-11,CUST-0104,Australia,Laptop,Electronics,2,185.02,370.04,Credit Card
ORD-03155,2022-01-11,CUST-0254,Brazil,Science,Books,4,40.47,161.88,Debit Card
ORD-00208,2022-01-12,CUST-0140,Japan,Shoes,Clothing,3,104.21,312.63,Google Pay
ORD-03788,2022-01-12,CUST-0190,UK,Coffee Maker,Home & Kitchen,1,130.57,130.57,Credit Card
ORD-00797,2022-01-12,CUST-0146,UK,Microwave,Home & Kitchen,5,189.58,947.9,PayPal
ORD-02691,2022-01-12,CUST-0403,France,Dumbbells,Sports,4,174.16,696.64,PayPal
ORD-01833,2022-01-13,CUST-0347,Brazil,Shampoo,Beauty,2,74.13,148.26,Credit Card
ORD-04561,2022-01-13,CUST-0447,UK,Microwave,Home & Kitchen,4,204.35,817.4,Credit Card
ORD-02410,2022-01-13,CUST-0050,UK,Laptop,Electronics,5,612.2,3061.0,Debit Card
ORD-03981,2022-01-13,CUST-0091,Brazil,Face Cream,Beauty,3,98.97,296.91,PayPal
ORD-03838,2022-01-13,CUST-0341,Japan,Jeans,Clothing,4,26.83,107.32,Debit Card
ORD-03612,2022-01-13,CUST-0133,UK,Dress,Clothing,5,16.59,82.95,PayPal
ORD-00704,2022-01-13,CUST-0360,Canada,Camera,Electronics,4,1029.57,4118.28,PayPal
ORD-01610,2022-01-13,CUST-0171,Japan,Jeans,Clothing,3,96.86,290.58,PayPal
ORD-03909,2022-01-13,CUST-0188,Germany,Non-Fiction,Books,2,37.18,74.36,Debit Card
ORD-01334,2022-01-14,CUST-0242,USA,Jacket,Clothing,1,146.51,146.51,Credit Card
ORD-01324,2022-01-14,CUST-0057,Japan,Smartphone,Electronics,5,1253.44,6267.2,Credit Card
ORD-04856,2022-01-14,CUST-0385,UK,Shoes,Clothing,5,25.9,129.5,Debit Card
ORD-03748,2022-01-14,CUST-0068,USA,Coffee Maker,Home & Kitchen,2,42.42,84.84,Apple Pay
ORD-03722,2022-01-15,CUST-0240,USA,Dumbbells,Sports,2,97.48,194.96,PayPal
ORD-03739,2022-01-15,CUST-0217,USA,Lipstick,Beauty,1,34.61,34.61,Debit Card
ORD-01140,2022-01-15,CUST-0475,Australia,Face Cream,Beauty,4,35.28,141.12,Credit Card
ORD-03454,2022-01-16,CUST-0019,Mexico,Camera,Electronics,2,816.31,1632.62,Credit Card
ORD-00953,2022-01-16,CUST-0203,Canada,Biography,Books,4,12.54,50.16,Credit Card
ORD-00010,2022-01-16,CUST-0268,USA,Microwave,Home & Kitchen,5,283.47,1417.35,PayPal
ORD-03146,2022-01-16,CUST-0340,India,Shoes,Clothing,1,38.19,38.19,Credit Card
ORD-03466,2022-01-16,CUST-0257,USA,Camera,Electronics,3,967.83,2903.49,Debit Card
ORD-02598,2022-01-16,CUST-0445,Mexico,Jeans,Clothing,1,98.91,98.91,Credit Card
ORD-04389,2022-01-16,CUST-0111,UK,Science,Books,3,33.38,100.14,PayPal
ORD-03047,2022-01-16,CUST-0322,USA,Self-Help,Books,1,25.1,25.1,Debit Card
ORD-00741,2022-01-16,CUST-0005,USA,Non-Fiction,Books,2,36.78,73.56,PayPal
ORD-00203,2022-01-16,CUST-0306,USA,Fiction,Books,1,11.3,11.3,Credit Card
ORD-00425,2022-01-17,CUST-0259,UK,Science,Books,3,41.14,123.42,PayPal
ORD-01754,2022-01-17,CUST-0128,Mexico,Tablet,Electronics,5,545.31,2726.55,Google Pay
ORD-04161,2022-01-17,CUST-0146,Australia,T-Shirt,Clothing,1,117.91,117.91,Apple Pay
ORD-02971,2022-01-17,CUST-0453,Canada,Dumbbells,Sports,3,123.64,370.92,Apple Pay
ORD-01875,2022-01-17,CUST-0407,UK,Smart Watch,Electronics,1,753.04,753.04,PayPal
ORD-04410,2022-01-18,CUST-0175,UK,Dress,Clothing,2,43.3,86.6,PayPal
ORD-01698,2022-01-18,CUST-0411,USA,Toaster,Home & Kitchen,5,230.5,1152.5,Credit Card
ORD-03818,2022-01-18,CUST-0483,UK,T-Shirt,Clothing,4,85.21,340.84,Credit Card
ORD-00618,2022-01-18,CUST-0184,UK,Face Cream,Beauty,2,69.68,139.36,Credit Card
ORD-01638,2022-01-19,CUST-0063,Australia,Makeup Kit,Beauty,4,66.61,266.44,Apple Pay
ORD-00761,2022-01-19,CUST-0285,UK,Coffee Maker,Home & Kitchen,3,231.66,694.98,Credit Card
ORD-03206,2022-01-19,CUST-0143,Australia,Tablet,Electronics,1,1004.91,1004.91,Apple Pay
ORD-04104,2022-01-19,CUST-0447,France,Dress,Clothing,1,40.45,40.45,Credit Card
ORD-01159,2022-01-19,CUST-0483,Brazil,Speaker,Electronics,2,264.23,528.46,Debit Card
ORD-03190,2022-01-19,CUST-0213,Mexico,Basketball,Sports,2,144.53,289.06,Debit Card
ORD-02854,2022-01-19,CUST-0372,Germany,Tablet,Electronics,5,1261.42,6307.1,Credit Card
ORD-01373,2022-01-20,CUST-0254,India,Camera,Electronics,5,641.29,3206.45,Credit Card
ORD-02599,2022-01-20,CUST-0395,USA,History,Books,2,48.17,96.34,PayPal
ORD-03187,2022-01-20,CUST-0310,USA,Makeup Kit,Beauty,5,8.08,40.4,PayPal
ORD-02047,2022-01-20,CUST-0495,USA,Socks,Clothing,5,51.82,259.1,Credit Card
ORD-00182,2022-01-20,CUST-0117,Germany,Biography,Books,3,19.87,59.61,Credit Card
ORD-01114,2022-01-20,CUST-0070,USA,Laptop,Electronics,3,1473.84,4421.52,PayPal
ORD-04802,2022-01-20,CUST-0444,Brazil,Shoes,Clothing,5,56.58,282.9,PayPal
ORD-04300,2022-01-21,CUST-0482,USA,Hair Dryer,Beauty,1,7.39,7.39,Credit Card
ORD-01158,2022-01-21,CUST-0217,UK,Microwave,Home & Kitchen,1,214.02,214.02,Credit Card
ORD-03529,2022-01-21,CUST-0266,Germany,Biography,Books,4,23.05,92.2,Debit Card
ORD-01050,2022-01-21,CUST-0231,USA,Tablet,Electronics,1,849.96,849.96,PayPal
ORD-03371,2022-01-22,CUST-0389,Mexico,Dress,Clothing,5,135.8,679.0,PayPal
ORD-03691,2022-01-22,CUST-0295,USA,Speaker,Electronics,1,144.68,144.68,Credit Card
ORD-00646,2022-01-22,CUST-0317,India,Shampoo,Beauty,2,10.62,21.24,Debit Card
ORD-03455,2022-01-22,CUST-0341,USA,Shampoo,Beauty,4,53.1,212.4,Credit Card
ORD-00401,2022-01-22,CUST-0473,Mexico,Face Cream,Beauty,3,9.39,28.17,PayPal
ORD-01676,2022-01-22,CUST-0304,Germany,Non-Fiction,Books,3,45.93,137.79,PayPal
ORD-04395,2022-01-22,CUST-0049,Canada,Socks,Clothing,1,65.57,65.57,Credit Card
ORD-02484,2022-01-22,CUST-0107,Brazil,Face Cream,Beauty,2,43.24,86.48,Credit Card
ORD-00338,2022-01-23,CUST-0032,Canada,Jeans,Clothing,4,54.9,219.6,Credit Card
ORD-03952,2022-01-23,CUST-0189,Australia,Knife Set,Home & Kitchen,4,219.08,876.32,Apple Pay
ORD-02198,2022-01-23,CUST-0222,USA,Self-Help,Books,5,39.21,196.05,Credit Card
ORD-02580,2022-01-23,CUST-0036,USA,Jeans,Clothing,1,82.34,82.34,Google Pay
ORD-00855,2022-01-23,CUST-0186,USA,Laptop,Electronics,4,426.07,1704.28,Debit Card
ORD-02965,2022-01-24,CUST-0463,Brazil,Tablet,Electronics,2,681.32,1362.64,Credit Card
ORD-01481,2022-01-24,CUST-0084,Canada,Toaster,Home & Kitchen,2,123.24,246.48,PayPal
ORD-04529,2022-01-24,CUST-0080,Australia,Shoes,Clothing,1,94.21,94.21,Credit Card
ORD-00062,2022-01-24,CUST-0187,Australia,Speaker,Electronics,4,781.53,3126.12,Credit Card
ORD-01239,2022-01-24,CUST-0328,Mexico,Makeup Kit,Beauty,1,20.26,20.26,Credit Card
ORD-01064,2022-01-24,CUST-0397,Brazil,Lipstick,Beauty,1,29.45,29.45,Google Pay
ORD-03837,2022-01-25,CUST-0418,USA,Headphones,Electronics,2,564.97,1129.94,PayPal
ORD-02021,2022-01-25,CUST-0336,UK,Cookware Set,Home & Kitchen,4,287.42,1149.68,Google Pay
ORD-04119,2022-01-25,CUST-0111,India,Tablet,Electronics,1,1250.41,1250.41,PayPal
ORD-01026,2022-01-25,CUST-0252,USA,Science,Books,5,26.18,130.9,Debit Card
ORD-00616,2022-01-25,CUST-0062,Australia,Yoga Mat,Sports,3,78.15,234.45,Debit Card
ORD-04302,2022-01-25,CUST-0024,Canada,Shampoo,Beauty,5,97.03,485.15,PayPal
ORD-04686,2022-01-25,CUST-0185,Germany,Camera,Electronics,4,1018.84,4075.36,Apple Pay
ORD-01595,2022-01-25,CUST-0162,UK,Jacket,Clothing,5,139.36,696.8,Credit Card
ORD-00477,2022-01-26,CUST-0347,Canada,Toaster,Home & Kitchen,4,69.86,279.44,Debit Card
ORD-04632,2022-01-26,CUST-0248,USA,Self-Help,Books,1,14.55,14.55,PayPal
ORD-01746,2022-01-26,CUST-0150,USA,T-Shirt,Clothing,4,66.71,266.84,Google Pay
ORD-00473,2022-01-26,CUST-0213,USA,Speaker,Electronics,2,1218.51,2437.02,Debit Card
ORD-02972,2022-01-27,CUST-0354,Mexico,Toaster,Home & Kitchen,1,295.89,295.89,Debit Card
ORD-02887,2022-01-27,CUST-0090,UK,Hat,Clothing,5,21.39,106.95,Apple Pay
ORD-02637,2022-01-27,CUST-0367,Japan,Biography,Books,2,49.33,98.66,PayPal
ORD-02328,2022-01-27,CUST-0094,USA,Dress,Clothing,1,78.56,78.56,PayPal
ORD-04551,2022-01-27,CUST-0155,USA,Perfume,Beauty,1,62.23,62.23,Apple Pay
ORD-00879,2022-01-27,CUST-0256,USA,Socks,Clothing,5,90.28,451.4,PayPal
ORD-00092,2022-01-27,CUST-0423,UK,Smart Watch,Electronics,1,595.09,595.09,PayPal
ORD-02033,2022-01-27,CUST-0190,UK,Basketball,Sports,1,32.17,32.17,PayPal
ORD-04281,2022-01-27,CUST-0263,USA,Non-Fiction,Books,4,37.99,151.96,Credit Card
ORD-04932,2022-01-27,CUST-0287,Germany,Tennis Racket,Sports,3,106.91,320.73,Credit Card
ORD-04848,2022-01-27,CUST-0025,Mexico,Non-Fiction,Books,5,20.14,100.7,PayPal
ORD-04774,2022-01-28,CUST-0104,Germany,Basketball,Sports,3,103.08,309.24,PayPal
ORD-01297,2022-01-28,CUST-0042,Australia,Tennis Racket,Sports,1,27.21,27.21,Debit Card
ORD-02934,2022-01-28,CUST-0292,Brazil,Socks,Clothing,5,124.62,623.1,PayPal
ORD-01363,2022-01-28,CUST-0414,Germany,Fitness Tracker,Sports,4,138.0,552.0,PayPal
ORD-04401,2022-01-28,CUST-0211,Australia,History,Books,3,17.5,52.5,Credit Card
ORD-00529,2022-01-28,CUST-0170,USA,Biography,Books,5,24.13,120.65,PayPal
ORD-01517,2022-01-28,CUST-0407,Japan,Tablet,Electronics,3,639.0,1917.0,Debit Card
ORD-02380,2022-01-29,CUST-0215,USA,Shampoo,Beauty,2,88.05,176.1,PayPal
ORD-02385,2022-01-29,CUST-0198,USA,Shampoo,Beauty,3,80.53,241.59,Debit Card
ORD-00452,2022-01-29,CUST-0230,Australia,Science,Books,4,30.88,123.52,PayPal
ORD-02859,2022-01-29,CUST-0061,USA,Smartphone,Electronics,5,1175.84,5879.2,PayPal
ORD-00736,2022-01-29,CUST-0022,USA,Basketball,Sports,2,189.15,378.3,PayPal
ORD-00894,2022-01-29,CUST-0220,Australia,Smartphone,Electronics,4,1470.79,5883.16,Apple Pay
ORD-02071,2022-01-29,CUST-0313,UK,Cookware Set,Home & Kitchen,5,187.72,938.6,PayPal
ORD-04511,2022-01-29,CUST-0203,France,Coffee Maker,Home & Kitchen,1,200.06,200.06,PayPal
ORD-01547,2022-01-29,CUST-0426,Germany,Speaker,Electronics,4,1367.88,5471.52,Google Pay
ORD-02792,2022-01-29,CUST-0241,USA,Hair Dryer,Beauty,4,66.27,265.08,Debit Card
ORD-00157,2022-01-30,CUST-0042,USA,Dumbbells,Sports,4,21.56,86.24,PayPal
ORD-01254,2022-01-30,CUST-0322,USA,Smartphone,Electronics,4,1110.61,4442.44,PayPal
ORD-02542,2022-01-30,CUST-0427,USA,Dress,Clothing,3,70.8,212.4,Credit Card
ORD-00526,2022-01-30,CUST-0424,UK,Headphones,Electronics,4,1408.93,5635.72,Apple Pay
ORD-00463,2022-01-30,CUST-0236,UK,Speaker,Electronics,5,1364.52,6822.6,PayPal
ORD-03763,2022-01-31,CUST-0249,Australia,Dress,Clothing,1,22.22,22.22,Credit Card
ORD-04186,2022-01-31,CUST-0018,USA,Dress,Clothing,1,97.25,97.25,Credit Card
ORD-00291,2022-01-31,CUST-0039,Japan,Hat,Clothing,3,118.22,354.66,Debit Card
ORD-02712,2022-02-01,CUST-0493,UK,T-Shirt,Clothing,1,74.28,74.28,Credit Card
ORD-00297,2022-02-01,CUST-0114,Germany,Cookware Set,Home & Kitchen,5,88.43,442.15,Apple Pay
ORD-04359,2022-02-01,CUST-0227,Canada,Fiction,Books,3,32.79,98.37,Credit Card
ORD-02868,2022-02-01,CUST-0210,UK,Hat,Clothing,4,78.22,312.88,Apple Pay
ORD-01956,2022-02-01,CUST-0065,USA,Fitness Tracker,Sports,4,149.12,596.48,Google Pay
ORD-03753,2022-02-01,CUST-0491,France,Cookware Set,Home & Kitchen,3,139.09,417.27,Apple Pay
ORD-02229,2022-02-01,CUST-0485,UK,Tablet,Electronics,4,1239.49,4957.96,PayPal
ORD-00869,2022-02-01,CUST-0482,Australia,Speaker,Electronics,2,617.36,1234.72,Apple Pay
ORD-03687,2022-02-02,CUST-0020,Canada,Socks,Clothing,5,135.52,677.6,PayPal
ORD-03997,2022-02-02,CUST-0290,USA,Shoes,Clothing,1,42.79,42.79,PayPal
ORD-01424,2022-02-02,CUST-0036,Mexico,Cookware Set,Home & Kitchen,3,50.55,151.65,Credit Card
ORD-01130,2022-02-02,CUST-0224,India,Smartphone,Electronics,2,412.47,824.94,Apple Pay
ORD-00033,2022-02-02,CUST-0096,Mexico,Blender,Home & Kitchen,4,99.84,399.36,Debit Card
ORD-00331,2022-02-03,CUST-0047,Germany,Dress,Clothing,3,78.29,234.87,PayPal
ORD-04897,2022-02-03,CUST-0114,USA,Tablet,Electronics,2,1411.16,2822.32,Debit Card
ORD-00313,2022-02-04,CUST-0110,USA,Lipstick,Beauty,2,53.15,106.3,PayPal
ORD-00275,2022-02-04,CUST-0479,USA,Blender,Home & Kitchen,3,77.83,233.49,Debit Card
ORD-01484,2022-02-04,CUST-0440,France,Jeans,Clothing,1,48.74,48.74,Credit Card
ORD-04692,2022-02-05,CUST-0331,Germany,Socks,Clothing,1,56.55,56.55,Credit Card
ORD-04470,2022-02-05,CUST-0097,USA,Headphones,Electronics,1,673.79,673.79,Debit Card
ORD-02511,2022-02-05,CUST-0164,India,Face Cream,Beauty,2,98.45,196.9,Debit Card
ORD-00055,2022-02-05,CUST-0262,USA,Cookware Set,Home & Kitchen,3,296.38,889.14,Debit Card
ORD-00015,2022-02-05,CUST-0048,Australia,Science,Books,4,37.99,151.96,Credit Card
ORD-01062,2022-02-05,CUST-0433,Germany,Shoes,Clothing,1,139.22,139.22,PayPal
ORD-01812,2022-02-05,CUST-0231,USA,Tablet,Electronics,5,1476.66,7383.3,Apple Pay
ORD-01399,2022-02-05,CUST-0420,UK,Blender,Home & Kitchen,1,211.48,211.48,Credit Card
ORD-01626,2022-02-06,CUST-0285,Germany,Non-Fiction,Books,1,27.76,27.76,PayPal
ORD-02586,2022-02-06,CUST-0066,UK,Face Cream,Beauty,2,93.24,186.48,Debit Card
ORD-01773,2022-02-06,CUST-0411,Germany,Lipstick,Beauty,3,37.96,113.88,Apple Pay
ORD-04180,2022-02-06,CUST-0253,Brazil,Hat,Clothing,4,133.59,534.36,PayPal
ORD-00717,2022-02-06,CUST-0212,USA,Fiction,Books,2,36.84,73.68,Credit Card
ORD-03066,2022-02-06,CUST-0456,Canada,Jeans,Clothing,2,25.9,51.8,PayPal
ORD-02732,2022-02-06,CUST-0482,Canada,Coffee Maker,Home & Kitchen,1,199.52,199.52,PayPal
ORD-04305,2022-02-06,CUST-0081,UK,Makeup Kit,Beauty,2,5.19,10.38,PayPal
ORD-01201,2022-02-06,CUST-0417,Canada,Jacket,Clothing,2,59.9,119.8,Google Pay
ORD-02247,2022-02-06,CUST-0071,USA,Coffee Maker,Home & Kitchen,2,133.73,267.46,Credit Card
ORD-04565,2022-02-06,CUST-0019,USA,Tablet,Electronics,2,1119.72,2239.44,Credit Card
ORD-04616,2022-02-06,CUST-0146,UK,Dumbbells,Sports,3,28.19,84.57,Debit Card
ORD-02931,2022-02-07,CUST-0227,Germany,Smartphone,Electronics,4,857.91,3431.64,PayPal
ORD-02865,2022-02-07,CUST-0091,Brazil,Dumbbells,Sports,4,180.28,721.12,PayPal
ORD-02782,2022-02-07,CUST-0009,UK,History,Books,1,16.62,16.62,Apple Pay
ORD-03641,2022-02-07,CUST-0291,Brazil,Cookware Set,Home & Kitchen,3,30.59,91.77,Debit Card
ORD-03525,2022-02-07,CUST-0451,Brazil,Speaker,Electronics,3,877.6,2632.8,Debit Card
ORD-01023,2022-02-07,CUST-0251,Germany,Shampoo,Beauty,3,99.28,297.84,Credit Card
ORD-00899,2022-02-07,CUST-0243,USA,Biography,Books,1,38.73,38.73,Credit Card
ORD-03446,2022-02-07,CUST-0415,Australia,Dress,Clothing,5,33.37,166.85,PayPal
ORD-02788,2022-02-08,CUST-0299,USA,Toaster,Home & Kitchen,2,128.22,256.44,PayPal
ORD-01654,2022-02-08,CUST-0473,Canada,Shoes,Clothing,4,124.5,498.0,Credit Card
ORD-01845,2022-02-08,CUST-0398,Canada,History,Books,5,18.72,93.6,Credit Card
ORD-02286,2022-02-08,CUST-0376,France,Tablet,Electronics,4,542.32,2169.28,Debit Card
ORD-03770,2022-02-08,CUST-0363,Australia,Dumbbells,Sports,4,47.23,188.92,Apple Pay
ORD-00810,2022-02-08,CUST-0045,USA,Face Cream,Beauty,5,22.13,110.65,Debit Card
ORD-01868,2022-02-08,CUST-0099,Brazil,Non-Fiction,Books,2,11.79,23.58,Debit Card
ORD-02497,2022-02-08,CUST-0146,USA,Hair Dryer,Beauty,3,52.39,157.17,PayPal
ORD-02549,2022-02-09,CUST-0324,UK,Speaker,Electronics,2,814.21,1628.42,PayPal
ORD-03992,2022-02-09,CUST-0153,USA,Hair Dryer,Beauty,3,92.35,277.05,PayPal
ORD-01467,2022-02-09,CUST-0095,Germany,Knife Set,Home & Kitchen,5,169.99,849.95,Credit Card
ORD-03017,2022-02-09,CUST-0483,Australia,Dress,Clothing,1,109.3,109.3,PayPal
ORD-02763,2022-02-09,CUST-0182,India,Coffee Maker,Home & Kitchen,1,170.96,170.96,Apple Pay
ORD-03240,2022-02-09,CUST-0450,Mexico,Tennis Racket,Sports,4,189.19,756.76,PayPal
ORD-02724,2022-02-09,CUST-0129,USA,Biography,Books,3,21.94,65.82,Debit Card
ORD-01555,2022-02-10,CUST-0313,India,Fitness Tracker,Sports,1,45.06,45.06,PayPal
ORD-02563,2022-02-10,CUST-0363,France,Shampoo,Beauty,2,48.22,96.44,Debit Card
ORD-04570,2022-02-10,CUST-0408,Brazil,Face Cream,Beauty,1,67.57,67.57,Credit Card
ORD-01202,2022-02-10,CUST-0200,Brazil,Microwave,Home & Kitchen,4,36.22,144.88,Credit Card
ORD-01589,2022-02-10,CUST-0335,USA,Microwave,Home & Kitchen,4,88.48,353.92,PayPal
